"Ident","Info.1","Determination.start","Bromide Concentration","Bromide DL","Bromide STD","Chloride Concentration","Chloride DL","Chloride STD","Fluoride Concentration","Fluoride DL","Fluoride STD","Nitrate Concentration","Nitrate DL","Nitrate STD","Nitrite Concentration","Nitrite DL","Nitrite STD","Phosphate Concentration","Phosphate DL","Phosphate STD","Sample.type","Sulfate Concentration","Sulfate DL","Sulfate STD"
"1",NA,"2025-10-13 17:34:09 UTC-6",NA,0.0118682848447178,NA,0.52,0.00485098117941084,0.003,1.92,0.00299328432090248,0.00900000000000001,NA,0.00297935572428269,NA,NA,0.00176052139706634,NA,NA,0.00572269743603181,NA,"Sample",4.832,0.0113080512291458,0.515333333333333
"2",NA,"2025-10-13 17:55:36 UTC-6",NA,0.0118682848447178,NA,0.297,0.00485098117941084,0.003,0.309,0.00299328432090248,0.00900000000000001,NA,0.00297935572428269,NA,NA,0.00176052139706634,NA,NA,0.00572269743603181,NA,"Sample",1.952,0.0113080512291458,0.515333333333333
"3",NA,"2025-10-13 18:17:04 UTC-6",NA,0.0118682848447178,NA,1.926,0.00485098117941084,0.003,0.691,0.00299328432090248,0.00900000000000001,0.029,0.00297935572428269,NA,NA,0.00176052139706634,NA,NA,0.00572269743603181,NA,"Sample",2.51,0.0113080512291458,0.515333333333333
"4",NA,"2025-10-13 18:38:33 UTC-6",NA,0.0118682848447178,NA,0.37,0.00485098117941084,0.003,0.436,0.00299328432090248,0.00900000000000001,NA,0.00297935572428269,NA,NA,0.00176052139706634,NA,NA,0.00572269743603181,NA,"Sample",1.317,0.0113080512291458,0.515333333333333
"5",NA,"2025-10-13 19:00:02 UTC-6",NA,0.0118682848447178,NA,0.866,0.00485098117941084,0.003,1.295,0.00299328432090248,0.00900000000000001,NA,0.00297935572428269,NA,NA,0.00176052139706634,NA,NA,0.00572269743603181,NA,"Sample",4.01,0.0113080512291458,0.515333333333333
"6",NA,"2025-10-13 19:21:30 UTC-6",NA,0.0118682848447178,NA,0.89,0.00485098117941084,0.003,1.046,0.00299328432090248,0.00900000000000001,NA,0.00297935572428269,NA,NA,0.00176052139706634,NA,NA,0.00572269743603181,NA,"Sample",3.458,0.0113080512291458,0.515333333333333
"12",NA,"2025-10-13 19:42:59 UTC-6",NA,0.0118682848447178,NA,0.844,0.00485098117941084,0.003,1.083,0.00299328432090248,0.00900000000000001,0.009,0.00297935572428269,NA,NA,0.00176052139706634,NA,NA,0.00572269743603181,NA,"Sample",3.921,0.0113080512291458,0.515333333333333
"15",NA,"2025-10-13 20:04:28 UTC-6",NA,0.0118682848447178,NA,0.368,0.00485098117941084,0.003,1.267,0.00299328432090248,0.00900000000000001,0.008,0.00297935572428269,NA,NA,0.00176052139706634,NA,NA,0.00572269743603181,NA,"Sample",4.848,0.0113080512291458,0.515333333333333
"16",NA,"2025-10-13 20:25:58 UTC-6",NA,0.0118682848447178,NA,0.318,0.00485098117941084,0.003,0.337,0.00299328432090248,0.00900000000000001,NA,0.00297935572428269,NA,NA,0.00176052139706634,NA,NA,0.00572269743603181,NA,"Sample",1.927,0.0113080512291458,0.515333333333333
"17",NA,"2025-10-13 20:47:27 UTC-6",NA,0.0118682848447178,NA,0.335,0.00485098117941084,0.003,0.349,0.00299328432090248,0.00900000000000001,NA,0.00297935572428269,NA,NA,0.00176052139706634,NA,NA,0.00572269743603181,NA,"Sample",2.852,0.0113080512291458,0.515333333333333
"18",NA,"2025-10-13 21:08:57 UTC-6",NA,0.0118682848447178,NA,0.22,0.00485098117941084,0.003,0.323,0.00299328432090248,0.00900000000000001,NA,0.00297935572428269,NA,NA,0.00176052139706634,NA,NA,0.00572269743603181,NA,"Sample",1.176,0.0113080512291458,0.515333333333333
"18",NA,"2025-10-13 21:30:26 UTC-6",NA,0.0118682848447178,NA,0.221,0.00485098117941084,0.003,0.326,0.00299328432090248,0.00900000000000001,NA,0.00297935572428269,NA,NA,0.00176052139706634,NA,NA,0.00572269743603181,NA,"Sample",1.785,0.0113080512291458,0.515333333333333
"19",NA,"2025-10-13 22:13:19 UTC-6",NA,0.0118682848447178,NA,1.306,0.00485098117941084,0.003,1.255,0.00299328432090248,0.00900000000000001,NA,0.00297935572428269,NA,NA,0.00176052139706634,NA,NA,0.00572269743603181,NA,"Sample",4.049,0.0113080512291458,0.515333333333333
"20",NA,"2025-10-13 22:34:47 UTC-6",NA,0.0118682848447178,NA,1.314,0.00485098117941084,0.003,1.049,0.00299328432090248,0.00900000000000001,NA,0.00297935572428269,NA,NA,0.00176052139706634,NA,NA,0.00572269743603181,NA,"Sample",3.527,0.0113080512291458,0.515333333333333
"21",NA,"2025-10-13 22:56:15 UTC-6",NA,0.0118682848447178,NA,0.364,0.00485098117941084,0.003,0.438,0.00299328432090248,0.00900000000000001,NA,0.00297935572428269,NA,NA,0.00176052139706634,NA,NA,0.00572269743603181,NA,"Sample",0.943,0.0113080512291458,0.515333333333333
