"Ident","Info.1","Determination.start","Ammonium Concentration","Ammonium DL","Ammonium STD","Calcium Concentration","Calcium DL","Calcium STD","Lithium Concentration","Lithium DL","Lithium STD","Magnesium Concentration","Magnesium DL","Magnesium STD","Potassium Concentration","Potassium DL","Potassium STD","Sodium Concentration","Sodium DL","Sodium STD"
"1",NA,"2025-10-13 17:41:55 UTC-6",-0.001,0.00310629313279633,1.62728571428571,15.989,6.8858093032061e-16,0.411785714285714,0.009,0.00068785756109876,NA,1.022,0.000806460293625395,0.0659230769230769,0.295,0.00617862504194007,0.0063,8.019,0.00228192771133763,0.003
"2",NA,"2025-10-13 18:03:22 UTC-6",0,0.00310629313279633,1.62728571428571,14.024,6.8858093032061e-16,0.411785714285714,NA,0.00068785756109876,NA,1.691,0.000806460293625395,0.0659230769230769,0.452,0.00617862504194007,0.0063,2.658,0.00228192771133763,0.003
"3",NA,"2025-10-13 18:24:50 UTC-6",0.003,0.00310629313279633,1.62728571428571,16.814,6.8858093032061e-16,0.411785714285714,NA,0.00068785756109876,NA,1.129,0.000806460293625395,0.0659230769230769,0.26,0.00617862504194007,0.0063,3.125,0.00228192771133763,0.003
"4",NA,"2025-10-13 18:46:20 UTC-6",0.031,0.00310629313279633,1.62728571428571,8.986,6.8858093032061e-16,0.411785714285714,0,0.00068785756109876,NA,0.528,0.000806460293625395,0.0659230769230769,0.209,0.00617862504194007,0.0063,2.685,0.00228192771133763,0.003
"5",NA,"2025-10-13 19:07:49 UTC-6",-0.001,0.00310629313279633,1.62728571428571,15.111,6.8858093032061e-16,0.411785714285714,0.007,0.00068785756109876,NA,1.208,0.000806460293625395,0.0659230769230769,0.267,0.00617862504194007,0.0063,7.099,0.00228192771133763,0.003
"6",NA,"2025-10-13 19:29:19 UTC-6",0,0.00310629313279633,1.62728571428571,15.511,6.8858093032061e-16,0.411785714285714,0.003,0.00068785756109876,NA,1.166,0.000806460293625395,0.0659230769230769,0.255,0.00617862504194007,0.0063,5.357,0.00228192771133763,0.003
"12",NA,"2025-10-13 19:50:48 UTC-6",NA,0.00310629313279633,1.62728571428571,13.6,6.8858093032061e-16,0.411785714285714,NA,0.00068785756109876,NA,0.994,0.000806460293625395,0.0659230769230769,0.229,0.00617862504194007,0.0063,4.122,0.00228192771133763,0.003
"15",NA,"2025-10-13 20:12:17 UTC-6",NA,0.00310629313279633,1.62728571428571,13.655,6.8858093032061e-16,0.411785714285714,0.004,0.00068785756109876,NA,0.855,0.000806460293625395,0.0659230769230769,0.556,0.00617862504194007,0.0063,4.502,0.00228192771133763,0.003
"16",NA,"2025-10-13 20:33:47 UTC-6",NA,0.00310629313279633,1.62728571428571,14.703,6.8858093032061e-16,0.411785714285714,NA,0.00068785756109876,NA,1.761,0.000806460293625395,0.0659230769230769,0.498,0.00617862504194007,0.0063,2.799,0.00228192771133763,0.003
"17",NA,"2025-10-13 20:55:16 UTC-6",NA,0.00310629313279633,1.62728571428571,14.938,6.8858093032061e-16,0.411785714285714,NA,0.00068785756109876,NA,1.843,0.000806460293625395,0.0659230769230769,0.501,0.00617862504194007,0.0063,2.881,0.00228192771133763,0.003
"18",NA,"2025-10-13 21:16:45 UTC-6",0.004,0.00310629313279633,1.62728571428571,14.275,6.8858093032061e-16,0.411785714285714,NA,0.00068785756109876,NA,1.502,0.000806460293625395,0.0659230769230769,0.281,0.00617862504194007,0.0063,2.213,0.00228192771133763,0.003
"18 duplicate",NA,"2025-10-13 21:38:14 UTC-6",0.002,0.00310629313279633,1.62728571428571,14.808,6.8858093032061e-16,0.411785714285714,-0.001,0.00068785756109876,NA,1.522,0.000806460293625395,0.0659230769230769,0.275,0.00617862504194007,0.0063,2.226,0.00228192771133763,0.003
"19",NA,"2025-10-13 22:21:06 UTC-6",NA,0.00310629313279633,1.62728571428571,14.752,6.8858093032061e-16,0.411785714285714,0.007,0.00068785756109876,NA,0.024,0.000806460293625395,0.0659230769230769,0.282,0.00617862504194007,0.0063,7.07,0.00228192771133763,0.003
"20",NA,"2025-10-13 22:42:33 UTC-6",0.013,0.00310629313279633,1.62728571428571,15.907,6.8858093032061e-16,0.411785714285714,0.004,0.00068785756109876,NA,1.157,0.000806460293625395,0.0659230769230769,0.264,0.00617862504194007,0.0063,5.377,0.00228192771133763,0.003
"21",NA,"2025-10-13 23:04:01 UTC-6",0.007,0.00310629313279633,1.62728571428571,10.597,6.8858093032061e-16,0.411785714285714,NA,0.00068785756109876,NA,0.576,0.000806460293625395,0.0659230769230769,0.203,0.00617862504194007,0.0063,2.929,0.00228192771133763,0.003
"22",NA,"2025-10-13 23:25:30 UTC-6",0.006,0.00310629313279633,1.62728571428571,17.676,6.8858093032061e-16,0.411785714285714,0.009,0.00068785756109876,NA,1.035,0.000806460293625395,0.0659230769230769,0.289,0.00617862504194007,0.0063,7.912,0.00228192771133763,0.003
"23",NA,"2025-10-13 23:46:57 UTC-6",0.003,0.00310629313279633,1.62728571428571,14.246,6.8858093032061e-16,0.411785714285714,0.001,0.00068785756109876,NA,0.951,0.000806460293625395,0.0659230769230769,0.226,0.00617862504194007,0.0063,4.039,0.00228192771133763,0.003
"24",NA,"2025-10-14 00:08:23 UTC-6",0.004,0.00310629313279633,1.62728571428571,28.657,6.8858093032061e-16,0.411785714285714,0.002,0.00068785756109876,NA,2.168,0.000806460293625395,0.0659230769230769,0.354,0.00617862504194007,0.0063,3.489,0.00228192771133763,0.003
"25",NA,"2025-10-14 00:29:49 UTC-6",-0.001,0.00310629313279633,1.62728571428571,14.947,6.8858093032061e-16,0.411785714285714,0.003,0.00068785756109876,NA,0.969,0.000806460293625395,0.0659230769230769,0.23,0.00617862504194007,0.0063,4.181,0.00228192771133763,0.003
"26",NA,"2025-10-14 00:51:15 UTC-6",0.002,0.00310629313279633,1.62728571428571,17.575,6.8858093032061e-16,0.411785714285714,0.001,0.00068785756109876,NA,1.159,0.000806460293625395,0.0659230769230769,0.263,0.00617862504194007,0.0063,3.206,0.00228192771133763,0.003
"27",NA,"2025-10-14 01:12:40 UTC-6",0.009,0.00310629313279633,1.62728571428571,13.09,6.8858093032061e-16,0.411785714285714,0.001,0.00068785756109876,NA,0.842,0.000806460293625395,0.0659230769230769,0.228,0.00617862504194007,0.0063,4.546,0.00228192771133763,0.003
