"Info.1","Determination.start","Ammonium Concentration","Ammonium DL","Ammonium STD","Calcium Concentration","Calcium DL","Calcium STD","Lithium Concentration","Lithium DL","Lithium STD","Magnesium Concentration","Magnesium DL","Magnesium STD","Potassium Concentration","Potassium DL","Potassium STD","Sodium Concentration","Sodium DL","Sodium STD"
"SummerHome1","2025-10-02 17:15:45 UTC-6",0.034,0.00101897237805808,0.0120000000000001,11.212,2.99842324129868e-15,0.0195000000000007,NA,0.00184723033417592,NA,1.203,0.00132374888100347,0.00749999999999995,0.7,0.00509476694673889,0.025,3.079,0.00239262577428353,0.0140000000000002
"SummerHome2","2025-10-02 17:37:06 UTC-6",0.149,0.00101897237805808,0.0120000000000001,11.579,2.99842324129868e-15,0.0195000000000007,NA,0.00184723033417592,NA,1.233,0.00132374888100347,0.00749999999999995,0.745,0.00509476694673889,0.025,6.669,0.00239262577428353,0.0140000000000002
"SummerHome3","2025-10-02 17:58:27 UTC-6",0.306,0.00101897237805808,0.0120000000000001,11.622,2.99842324129868e-15,0.0195000000000007,NA,0.00184723033417592,NA,1.251,0.00132374888100347,0.00749999999999995,0.773,0.00509476694673889,0.025,10.666,0.00239262577428353,0.0140000000000002
"SummerHome4","2025-10-02 18:19:48 UTC-6",0.526,0.00101897237805808,0.0120000000000001,12.208,2.99842324129868e-15,0.0195000000000007,NA,0.00184723033417592,NA,1.305,0.00132374888100347,0.00749999999999995,0.788,0.00509476694673889,0.025,16.837,0.00239262577428353,0.0140000000000002
"SummerHome5","2025-10-02 18:41:10 UTC-6",0.981,0.00101897237805808,0.0120000000000001,12.74,2.99842324129868e-15,0.0195000000000007,NA,0.00184723033417592,NA,1.389,0.00132374888100347,0.00749999999999995,0.855,0.00509476694673889,0.025,29.405,0.00239262577428353,0.0140000000000002
"SummerHome6","2025-10-02 19:02:31 UTC-6",1.425,0.00101897237805808,0.0120000000000001,13.207,2.99842324129868e-15,0.0195000000000007,NA,0.00184723033417592,NA,1.425,0.00132374888100347,0.00749999999999995,0.913,0.00509476694673889,0.025,41.764,0.00239262577428353,0.0140000000000002
"SummerHome7","2025-10-02 19:23:53 UTC-6",1.9,0.00101897237805808,0.0120000000000001,13.921,2.99842324129868e-15,0.0195000000000007,NA,0.00184723033417592,NA,1.488,0.00132374888100347,0.00749999999999995,0.971,0.00509476694673889,0.025,55.501,0.00239262577428353,0.0140000000000002
"SummerHome8","2025-10-02 19:45:16 UTC-6",2.638,0.00101897237805808,0.0120000000000001,14.134,2.99842324129868e-15,0.0195000000000007,NA,0.00184723033417592,NA,1.528,0.00132374888100347,0.00749999999999995,0.992,0.00509476694673889,0.025,68.966,0.00239262577428353,0.0140000000000002
"SummerHome9","2025-10-02 20:06:38 UTC-6",3.115,0.00101897237805808,0.0120000000000001,14.673,2.99842324129868e-15,0.0195000000000007,NA,0.00184723033417592,NA,1.58,0.00132374888100347,0.00749999999999995,1.067,0.00509476694673889,0.025,80.398,0.00239262577428353,0.0140000000000002
"SummerHome10","2025-10-02 20:28:01 UTC-6",3.372,0.00101897237805808,0.0120000000000001,14.648,2.99842324129868e-15,0.0195000000000007,NA,0.00184723033417592,NA,1.571,0.00132374888100347,0.00749999999999995,1.066,0.00509476694673889,0.025,86.838,0.00239262577428353,0.0140000000000002
